teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
4,1,8,3,2,3,3,5,3,0,0.5,0.5,1,1,1,0.5,1,0.5,1,0
7,2,11,1,2,3,2,2,2,1,0,1,0,0,0.5,1,0,1,1,0
12,10,9,20,2,4,6,2,0,0.5,0,0,1,0,0,0.5,0,0,0,0
9,19,19,6,2,4,1,4,4,0.5,0,0,0.5,0,1,1,0,1,1,0
18,8,5,17,2,1,5,1,4,0,1,1,1,1,0.5,0.5,0,0,0,1
15,3,14,2,2,2,3,7,1,0.5,1,0.5,0.5,0,1,1,1,0,1,0
13,20,12,10,2,2,1,2,3,0,1,0,0.5,1,1,0,0,1,0,0
17,16,16,15,2,2,2,4,5,0.5,1,0.5,0,0,0,0.5,0,0,1,0
5,11,7,13,2,3,2,1,0,0.5,1,0.5,1,0.5,0,0,0.5,0,1,0
6,14,18,4,2,1,3,0,3,0,1,0.5,0,0.5,0,0,1,1,1,0
19,8,6,17,3,4,4,3,7,1,1,0,1,1,0.5,0.5,0,0,0,0
2,18,1,5,3,4,2,4,7,0.5,1,0,1,1,0,1,1,1,1,0
1,9,3,19,3,6,3,4,1,1,0.5,1,0.5,1,0.5,0,0,0.5,0,0
3,12,2,9,3,10,1,4,8,1,1,1,0,1,0.5,0,0,1,0,1
14,17,4,16,3,1,5,2,3,0,0,1,1,1,0.5,1,0.5,0,0,0
16,5,15,7,3,5,5,3,3,0,0.5,0,0,1,0.5,1,0.5,1,0.5,0
11,13,13,12,3,2,0,2,2,0,0,0.5,0,1,0,1,0,0.5,1,0
20,7,10,11,3,3,3,3,4,1,0,0,1,0,1,0,1,0,0,1
10,4,20,8,3,4,0,3,4,0,0.5,0,0,0,0,0.5,0.5,1,1,1
6,15,18,14,3,3,4,2,6,0,1,0.5,0,0.5,0.5,1,0.5,0.5,0,0
12,6,9,18,4,5,11,3,5,0.5,0,0,1,0,0,1,0.5,0,0.5,0
8,1,17,3,4,3,9,7,4,0.5,0.5,0,0,0,1,0.5,1,0.5,1,0
4,3,8,2,4,5,6,13,2,0,0.5,0.5,1,1,1,1,1,0,1,1
9,10,19,20,4,5,2,6,2,0.5,0,0,0.5,0,0,0.5,0,0,0,0
18,19,5,6,4,5,8,6,4,0,1,1,1,1,1,1,0,1,1,1
13,16,12,15,4,4,3,6,7,0,1,0,0.5,1,0,0.5,0,0,1,0
7,11,11,13,4,6,5,3,2,1,0,1,0,0,0,0,0.5,0,1,0
2,20,1,10,4,5,3,4,6,0.5,1,0,1,1,1,0,0,1,0,0
5,14,7,4,4,5,4,1,5,0.5,1,0.5,1,0.5,0,0,1,1,1,1
17,15,16,14,4,2,3,3,6,0.5,1,0.5,0,0,0.5,1,0.5,0.5,0,0
3,9,2,19,5,15,4,6,3,1,1,1,0,1,0.5,0,0,0.5,0,0
6,4,18,8,5,5,5,7,8,0,1,0.5,0,0.5,0,0.5,0.5,1,1,0
17,12,16,9,5,4,3,5,13,0.5,1,0.5,0,0,0.5,0,0,1,0,1
16,7,15,11,5,6,8,7,7,0,0.5,0,0,1,1,0,1,0,0,0
11,2,13,1,5,5,3,6,3,0,0,0.5,0,1,0.5,1,0,1,1,0
15,5,14,7,5,3,8,8,5,0.5,1,0.5,0.5,0,0.5,1,0.5,1,0.5,0
1,19,3,6,5,9,5,8,7,1,0.5,1,0.5,1,1,1,0,1,1,1
20,18,10,5,5,4,7,8,10,1,0,0,1,0,0,1,1,1,1,0
10,8,20,17,5,7,3,4,11,0,0.5,0,0,0,0.5,0.5,0,0,0,0
14,13,4,12,5,2,8,5,3,0,0,1,1,1,0,1,0,0.5,1,0
4,17,8,16,6,7,11,7,4,0,0.5,0.5,1,1,0.5,1,0.5,0,0,0
5,12,7,9,6,9,5,6,16,0.5,1,0.5,1,0.5,0.5,0,0,1,0,1
9,6,19,18,6,6,6,8,5,0.5,0,0,0.5,0,0,1,0.5,0,0.5,0
18,1,5,3,6,10,11,10,8,0,1,1,1,1,1,0.5,1,0.5,1,1
7,14,11,4,6,8,7,3,9,1,0,1,0,0,0,0,1,1,1,1
2,16,1,15,6,9,3,6,9,0.5,1,0,1,1,0,0.5,0,0,1,1
19,10,6,20,6,11,8,9,4,1,1,0,1,1,0,0.5,0,0,0,0
13,15,12,14,6,6,4,3,9,0,1,0,0.5,1,0.5,1,0.5,0.5,0,0
20,11,10,13,6,5,9,5,6,1,0,0,1,0,0,0,0.5,0,1,0
8,3,17,2,6,5,13,18,4,0.5,0.5,0,0,0,1,1,1,0,1,0
5,4,7,8,7,11,8,7,12,0.5,1,0.5,1,0.5,0,0.5,0.5,1,1,1
17,9,16,19,7,8,4,9,6,0.5,1,0.5,0,0,0.5,0,0,0.5,0,0
11,18,13,5,7,6,6,11,16,0,0,0.5,0,1,0,1,1,1,1,0
14,2,4,1,7,4,13,11,5,0,0,1,1,1,0.5,1,0,1,1,0
10,1,20,3,7,10,5,15,9,0,0.5,0,0,0,1,0.5,1,0.5,1,0
15,7,14,11,7,4,10,12,8,0.5,1,0.5,0.5,0,1,0,1,0,0,0
12,13,9,12,7,9,18,7,5,0.5,0,0,1,0,0,1,0,0.5,1,0
